Lot ID,Item Description,Qty,Unit Retail,Ext. Retail,Item #,UPC,Vendor,Brand,Category,Seller Category,Condition,Notes/Comments,Pallet ID
BRI-6798213,LG WM4000HBA 4.5 CF BLKST,3,899.99,2699.97,1463444,"048231028271,",LG ELECTRONICS USA INC,LG,LAUNDRY_APPLIANCES,Washers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,SS RF23BB8600QL 23 CF BES,2,2249.99,4499.98,1644519,"887276624211,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,SS RF25C5551SR 25 CU FT,2,1899.99,3799.98,1692838,"887276719023,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,SS DV90F53AES 7.6 CF,2,1329.99,2659.98,1932499,"198957074172,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,SS RF32CG5100SR 32 CF,1,1899.99,1899.99,1748182,"887276769301,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,LG DLEX8980V 9.0CF ELEC,1,1499.99,1499.99,1622967,"195174024874,",LG ELECTRONICS USA INC,LG,LAUNDRY_APPLIANCES,Dryers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,MD MRF27I6BST 27 CU. FT.,1,1199.99,1199.99,1904680,"840296514917,",MIDEA AMERICA CORP,Midea,KITCHEN_APPLIANCES,Refrigerators,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,SS DW90F89P0USR 38 DBA,1,1099.99,1099.99,1813391,"887276931456,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Dishwashers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,LG WM6500HBA 5.0 CU FT,1,999.99,999.99,1712967,"195174052921,",LG ELECTRONICS USA INC,LG,LAUNDRY_APPLIANCES,Washers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,LG DLEX4000B 7.4 CF ELEC,1,899.99,899.99,1463446,"048231028356,",LG ELECTRONICS USA INC,LG,LAUNDRY_APPLIANCES,Dryers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,EL FFUE2024AW FRZ 20.0 CF,1,849.99,849.99,1811864,"012505648427,",ELECTROLUX CONSUMER PRODU,,KITCHEN_APPLIANCES,Freezers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,SS DVE45T6000V 7.5 CU. FT,1,799.99,799.99,1490907,"887276439419,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,"EL STACKIT7X 27""",1,29.99,29.99,1873170,"012505386930,",ELECTROLUX CONSUMER PRODU,,MIXED_MAJOR_APPLIANCES,Appliances,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,LG DLGX4081B 7.4 CUFT,2,949.99,1899.98,1667920,"737566177449,",LG ELECTRONICS USA INC,LG,LAUNDRY_APPLIANCES,Dryers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,EL FFUE1626AV 16 CU FT,2,779.99,1559.98,2021924,"810160850809,",ELECTROLUX CONSUMER PRODU,,KITCHEN_APPLIANCES,Freezers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,EL GRFC2353AD REF 22.6 CF,1,2999.99,2999.99,1893012,"012505648106,",ELECTROLUX CONSUMER PRODU,,KITCHEN_APPLIANCES,Refrigerators,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,"GE @ PHS930YPFS 30"" RANGE",1,2699.99,2699.99,1516430,"084691850793,",HAIER US APPLIANCE SLTNS,GE,KITCHEN_APPLIANCES,Ranges,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,LG WKEX200HBA E TWR BLKST,1,1999.99,1999.99,1476914,"499997402322,",LG ELECTRONICS USA INC,LG,LAUNDRY_APPLIANCES,Laundry Suites,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,LG WKE100HWA ELE TWR WHT,1,1649.99,1649.99,1570485,"048231029360,",LG ELECTRONICS USA INC,LG,LAUNDRY_APPLIANCES,Laundry Suites,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,SS RF27CG5B10SR 26 CUFT,1,1649.99,1649.99,1813386,"887276932576,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,SS WF90F53ADY 5.3 CF FL,1,1329.99,1329.99,1932506,"198957070563,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Washers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,SS DV90F53AEY 7.6 CF,1,1329.99,1329.99,1932507,"198957074196,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,"LG CBGJ3623D 36"" 20K BTU",1,1199.99,1199.99,1732344,"048231345330,",LG ELECTRONICS USA INC,LG,KITCHEN_APPLIANCES,Ranges,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,SS DVE53BB8900D 7.6,1,1149.99,1149.99,1685234,"887276657257,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Dryers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,SS WA47CG3500AW 4.7 CF,1,879.99,879.99,1748205,"887276756912,",SAMSUNG ELECTRONICS AMERI,Samsung,LAUNDRY_APPLIANCES,Washers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,LG DLEX4000W 7.4 CF ELEC,1,849.99,849.99,1463445,"048231028370,",LG ELECTRONICS USA INC,LG,LAUNDRY_APPLIANCES,Dryers,USED_FAIR,,"BRI-6798213, 55 Units"
BRI-6798213,LG DLEX4080B 7.4 CUFT,1,849.99,849.99,1667918,"737566177524,",LG ELECTRONICS USA INC,LG,LAUNDRY_APPLIANCES,Dryers,USED_FAIR,,"BRI-6798213, 55 Units"
