Lot ID,Item Description,Qty,Unit Retail,Ext. Retail,Item #,UPC,Vendor,Brand,Category,Seller Category,Condition,Notes/Comments,Pallet ID
ONT-6963173,SS RS27T5200SR 27 CU FT,4,1499.99,5999.96,1399050,"887276372211,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED,,"ONT-6963173, 38 Units"
ONT-6963173,SS RF30BB6600QL 30 CF,3,1849.99,5549.97,1644540,"887276624419,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED,,"ONT-6963173, 38 Units"
ONT-6963173,SS RF23BB8600QL 23 CF BES,2,3099.99,6199.98,1644519,"887276624211,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED,,"ONT-6963173, 38 Units"
ONT-6963173,SS ME21DG6300SR 2.1 CUFT,3,479.99,1439.97,1805418,"887276827308,",SAMSUNG ELECTRONICS AMERI,Samsung,MIXED_SMALL_APPLIANCES,Microwaves,USED,,"ONT-6963173, 38 Units"
ONT-6963173,SS RF23DB9900QD 23 CUFT,1,4199.99,4199.99,1805390,"887276826882,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED,,"ONT-6963173, 38 Units"
ONT-6963173,SS RF90F23AECR 23 CUFT,1,3399.99,3399.99,1813395,"887276954615,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED,,"ONT-6963173, 38 Units"
ONT-6963173,SS RF29DB9600QL 29 CUFT,1,3049.99,3049.99,1805394,"887276826936,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED,,"ONT-6963173, 38 Units"
ONT-6963173,SS RF23B7671SR 23 CF 4,1,1699.99,1699.99,1644559,"887276660226,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED,,"ONT-6963173, 38 Units"
ONT-6963173,SS RF25C5A01SR 25 CU FT,1,1599.99,1599.99,2049628,"198957273872,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED,,"ONT-6963173, 38 Units"
ONT-6963173,SS RT70F18LASR 18 CUFT,1,999.99,999.99,1813405,"887276937144,",SAMSUNG ELECTRONICS AMERI,Samsung,KITCHEN_APPLIANCES,Refrigerators,USED,,"ONT-6963173, 38 Units"
